Jugador,Goles_por_90,Asistencias_por_90,Tiros_por_90,Tiros_al_arco_por_90,Efectividad_Tiros,Goles Esperados (xG),Asistencias Esperadas (xAG),Diferencia_Goles,Diferencia_Asistencias,Acciones Creadoras de Gol (SCA) por 90,Contribuciones de Gol (GCA) por 90,xOVA,Tacleadas_por_90,Intercepciones_por_90,Bloqueos_por_90,PPDA,Porcentaje de Pases Completados,Pases_progresivos_por_90,Regates_exitosos_por_90,Conducciones_por_90,Conducciones_progresivas_por_90,Tarjetas_amarillas_por_90,Tarjetas_rojas_por_90,Minutos,Goles_Favor,Goles_Contra,Resultado_Final_Num,Posicion_Normalizada,Posición,Ranking_Ofensivo,Ranking_Defensivo,Ranking_Creacion_Juego,Ranking_Pases
Aaron Wan-Bissaka,0.0,0.0909090909090909,0.1432034755175133,0.0459652706843718,0.0,0.0,0.0681818181818181,0.0,-0.0227272727272727,1.2019255894353882,0.1363636363636363,-0.8863636363636364,2.790124555614925,2.1263848511039525,1.346732504627938,109.41875901875902,0.8352727272727273,4.168560663404097,1.017993242712344,32.002082858249736,1.3889801707324108,0.1993006993006993,0.0,1780.0,34,38,-1,Defensor,"['RB', 'CB', 'LB']",0.054038094518244185,0.2712399660282257,0.15703929588301987,0.7682916741645429
Abdoulaye Doucouré,0.2292114177131526,0.03125,1.6388850735331528,0.7436664207212198,0.1194444444444444,0.275,0.084375,0.05625,0.053125,2.3058860464745834,0.1726694915254237,-0.5906250000000001,1.3959712606540706,0.4781740269245709,0.8267460082642311,243.8488095238095,0.752375,3.36903638324232,0.8437401749775802,21.892973439676798,1.9227161704774816,0.2350772471910112,0.0,2629.0,36,39,1,Delantero,"['FW', 'CM,FW', 'CM', 'FW,CM', 'AM']",0.32610488983579305,0.09638035857728369,0.17685574362930104,0.5797193266713492
Adam Smith,0.0,0.0714285714285714,0.0797455968688845,0.0,0.0,0.0,0.05,0.0,-0.0214285714285714,1.2588665939079868,0.1789727126805778,-1.0964285714285713,1.536371475958341,0.7735561287351077,1.026148179766255,157.9543650793651,0.7553214285714286,4.0478711178774525,0.1632653061224489,22.36237080567364,0.919254533710582,0.2718838157928177,0.0,2150.0,46,42,4,Defensor,"['LB', 'RB']",0.03705050924963635,0.12755867939025464,0.1189588567367316,0.586421741450555
Adam Webster,0.0,0.0,0.5488584474885845,0.0,0.0,0.0266666666666666,0.0066666666666666,0.0266666666666666,0.0066666666666666,1.1333333333333333,0.0,-1.3066666666666669,0.9488584474885844,1.1488584474885846,1.352941176470588,113.16071428571428,0.9109333333333332,6.987358807978851,0.0,62.8806423795185,1.1333333333333333,0.3824561403508771,0.0,1144.0,19,24,-2,Defensor,"['CB', 'LM,LB', 'RB']",0.021478556086745624,0.1331830032949155,0.19496717288593965,0.9404013153693882
Adam Wharton,0.0,0.1875,0.6999883799436131,0.0685975609756097,0.0,0.01875,0.15625,0.01875,-0.03125,2.620099388825464,0.315406976744186,-0.95625,3.3198432745809043,1.3509443069700546,1.1981378129811198,134.93533775252524,0.7776875,5.473093932481736,0.1940834473324213,24.658320959557905,0.9506182683924304,0.1551360225140713,0.0,1297.0,32,22,2,Mediocampista,"['CM', 'DM', 'CM,DM']",0.15384015797131584,0.25188475965365786,0.20343673367548107,0.637299162729072
Albert Sambi Lokonga,0.0588235294117647,0.1966637401229148,0.5691303738352232,0.1533613445378151,0.1666666666666666,0.0352941176470588,0.0823529411764705,-0.0235294117647058,-0.0941176470588235,1.7256558195555698,0.1966637401229148,-0.788235294117647,2.2893602897805927,0.8703332726279366,1.444930560467223,154.5029513888889,0.8591176470588235,4.730958288794712,0.8807962166429346,36.05343269040412,1.762406482751726,0.2554872695346795,0.0,1303.0,26,38,-7,Mediocampista,"['CM', 'CM,RM']",0.10025431914607456,0.18982595412806028,0.19616865638519917,0.8225331189879692
Alejandro Garnacho,0.2057701278538529,0.1114232209737827,3.343569490200084,0.8371568777319703,0.0777777777777777,0.2277777777777777,0.1361111111111111,0.0333333333333333,0.0249999999999999,3.932120556136427,0.4991654106721893,-0.6472222222222223,0.7521858518105619,0.5900144301774617,0.810931368351837,229.0614942528736,0.7496944444444444,2.100998376205951,1.5982918727275055,35.65587915299953,6.0422265627221945,0.112047440699126,0.0,2565.0,53,56,2,Delantero,"['LM', 'LW', 'RW', 'LW,LB', 'LW,WB', 'RW,LW,FW', 'RW,LW', 'AM']",0.3303222938174092,0.06949332612930714,0.3341691414261901,0.5736217089159907
Alex Iwobi,0.16875,0.0745850895679662,2.133742030641171,0.6980435351888421,0.0714285714285714,0.175,0.15625,0.01875,0.09375,4.412705263022505,0.4167633353785251,-0.7483870967741936,1.2568652389869517,0.5396967955059565,0.6611748368474926,252.80919540229883,0.7711875,5.997026192857806,1.313355323319198,35.56345402688757,4.4012602142051005,0.0666824494949495,0.0,2332.0,46,52,-5,Delantero,"['LM,RM', 'RM', 'LM', 'RW', 'AM', 'AM,DM,LW', 'DM,AM,LW', 'DM', 'RW,AM', 'LW,RW', 'RW,LW', 'FW,LW', 'LW', 'LW,LM', 'LW,AM', 'RW,DM', 'DM,LW,RM']",0.2998272188734152,0.08444501256349804,0.40119251995100746,0.6225132295191877
Alex Scott,0.1778656126482213,0.0434782608695652,1.7631658050212766,0.2968798382543123,0.0909090909090909,0.0260869565217391,0.0695652173913043,-0.017391304347826,0.0260869565217391,4.359339352148466,0.1304347826086956,-0.9608695652173914,3.68736796929292,1.4016443709438604,2.3875753325551003,222.38666666666668,0.7409565217391305,5.476915517862538,1.4289577699188682,37.263246699595086,3.521082304622737,0.2212164823511589,0.0,1014.0,33,43,-3,Mediocampista,"['DM', 'CM', 'AM', 'AM,DM', 'AM,CM', 'AM,CM,DM', 'LM,DM', 'CM,AM', 'LM']",0.07970412008711922,0.33079759705566314,0.3552223604097721,0.5537450409907747
Alexander Isak,0.8613240938725281,0.0708333333333333,2.729231289727595,1.4184975292224289,0.3123456790123456,0.6733333333333333,0.1266666666666666,-0.0266666666666666,0.06,2.8829296916093585,0.4634711779448621,-0.8266666666666667,0.2994609164420485,0.2417228212039532,0.5499802436851634,284.93333333333334,0.7814666666666666,2.971778283530146,1.7154003818403265,17.43367996169406,2.6096548367233847,0.0333333333333333,0.0,2255.0,69,50,1,Delantero,"['FW', 'FW,LW', 'FW,RW', 'AM']",0.7377884015797133,0.01736615792742499,0.23428194589390913,0.645895855947896
